id,lon,lat
1,121.0651,14.6549
2,,14.6518
3,121.0724,14.6487
4,121.063161609889,14.6491991019984
5,121.076765238797,14.6427399375886
6,121.076660084846,14.6549044526685
7,121.060067546422,14.6456408971773
8,121.053159807863,14.6504536063106
9,121.065045209104,14.6522773124375
10,121.065533205928,14.6551090386467
11,121.075750578618,14.6402618331292
12,121.074542620331,14.6449172355603
13,121.078866206537,14.6588491457216
14,121.073331085479,14.642259064697
15,121.06678080942,14.6582173181064
16,121.058437566259,14.6438607151637
17,121.065828375857,14.6533101220704
18,121.079421489939,14.6438167365633
19,121.071371860544,94.6589899756733
20,181.050849184678,14.6545565977586
21,121.05,14.65
